date,transaction_id,store_id,product_category,units_sold,unit_price,cost_per_unit,store_name,city,region,store_size_sqft,opening_date,revenue,cost,profit
30-10-2023,1,1025,Clothing,6,722.09,1307.01,Store_1025,Pune,South,3695,22-08-2022,4332.54,7842.06,-3509.52
05-02-2023,2,1031,Electronics,4,1614.59,1264.71,Store_1031,Bangalore,North,1391,07-12-2021,6458.36,5058.84,1399.52
13-08-2023,3,1049,Clothing,13,980.56,487.95,Store_1049,Delhi,South,1502,06-03-2017,12747.28,6343.35,6403.93
05-08-2023,4,1041,Clothing,8,1813.98,269.39,Store_1041,Delhi,East,4099,24-08-2023,14511.84,2155.12,12356.72
27-08-2023,5,1017,Furniture,11,1171.52,587.09,Store_1017,Pune,East,4884,13-10-2022,12886.72,6457.99,6428.73
19-09-2023,6,1047,Groceries,19,1860.72,453.96,Store_1047,Mumbai,West,4104,19-05-2023,35353.68,8625.24,26728.44
20-01-2023,7,1030,Electronics,5,1966.09,1427.65,Store_1030,Bangalore,South,3640,24-10-2019,9830.45,7138.25,2692.2
04-07-2023,8,1039,Electronics,5,935.09,420.9,Store_1039,Hyderabad,West,4065,29-03-2018,4675.45,2104.5,2570.95
21-08-2023,9,1031,Electronics,3,1152.06,296.37,Store_1031,Bangalore,North,1391,07-12-2021,3456.18,889.11,2567.07
13-12-2023,10,1019,Furniture,2,1678.1,1352.23,Store_1019,Mumbai,North,4928,26-07-2015,3356.2,2704.46,651.74
12-03-2023,11,1035,Furniture,3,481.99,157.12,Store_1035,Pune,West,1378,17-11-2023,1445.97,471.36,974.61
02-02-2023,12,1029,Sports,15,1730.18,412.59,Store_1029,Delhi,West,2522,07-04-2020,25952.7,6188.85,19763.85
17-10-2023,13,1001,Furniture,7,1204.24,675.49,Store_1001,Hyderabad,South,4796,18-10-2019,8429.68,4728.43,3701.25
12-04-2023,14,1004,Electronics,3,1464.73,904.81,Store_1004,Kolkata,North,1337,24-06-2022,4394.19,2714.43,1679.76
10-08-2023,15,1028,Sports,15,205.72,511.68,Store_1028,Delhi,South,2162,06-04-2015,3085.8,7675.2,-4589.4
30-07-2023,16,1018,Groceries,11,1544.07,759.46,Store_1018,Pune,South,1064,28-01-2016,16984.77,8354.06,8630.71
25-09-2023,17,1026,Clothing,16,656.03,322.28,Store_1026,Kolkata,South,2495,17-07-2016,10496.48,5156.48,5340
19-02-2023,18,1040,Clothing,13,1620.2,874.18,Store_1040,Hyderabad,South,3088,19-09-2019,21062.6,11364.34,9698.26
09-07-2023,19,1019,Sports,2,1042.85,629.49,Store_1019,Mumbai,North,4928,26-07-2015,2085.7,1258.98,826.72
22-05-2023,20,1006,Groceries,12,585.5,1278.41,Store_1006,Mumbai,North,2076,05-08-2022,7026,15340.92,-8314.92
24-09-2023,21,1001,Clothing,7,1907.88,641.13,Store_1001,Hyderabad,South,4796,18-10-2019,13355.16,4487.91,8867.25
28-12-2023,22,1008,Sports,1,1541.87,682.41,Store_1008,Bangalore,West,4993,18-08-2017,1541.87,682.41,859.46
22-01-2024,23,1033,Furniture,14,1972.09,900.5,Store_1033,Hyderabad,South,1418,28-08-2022,27609.26,12607,15002.26
17-04-2023,24,1043,Electronics,10,760.72,211.06,Store_1043,Kolkata,East,1200,10-03-2022,7607.2,2110.6,5496.6
24-11-2023,25,1021,Groceries,3,1315.98,260.49,Store_1021,Kolkata,South,3568,25-02-2020,3947.94,781.47,3166.47
27-03-2023,26,1024,Clothing,11,1242.6,1191.65,Store_1024,Mumbai,South,3027,13-05-2017,13668.6,13108.15,560.45
25-04-2023,27,1025,Electronics,15,1390.74,431.93,Store_1025,Pune,South,3695,22-08-2022,20861.1,6478.95,14382.15
17-01-2024,28,1047,Sports,6,124.72,1036.5,Store_1047,Mumbai,West,4104,19-05-2023,748.32,6219,-5470.68
21-02-2024,29,1043,Clothing,18,618.85,173.22,Store_1043,Kolkata,East,1200,10-03-2022,11139.3,3117.96,8021.34
08-01-2023,30,1019,Electronics,13,1823.21,1238.11,Store_1019,Mumbai,North,4928,26-07-2015,23701.73,16095.43,7606.3
24-04-2023,31,1029,Furniture,15,876.45,1482.7,Store_1029,Delhi,West,2522,07-04-2020,13146.75,22240.5,-9093.75
06-05-2023,32,1010,Groceries,3,1923.26,579.33,Store_1010,Kolkata,East,1763,25-01-2019,5769.78,1737.99,4031.79
14-07-2023,33,1012,Sports,15,466.33,773.13,Store_1012,Bangalore,East,1379,25-10-2017,6994.95,11596.95,-4602
21-03-2023,34,1033,Clothing,1,1994.98,680.79,Store_1033,Hyderabad,South,1418,28-08-2022,1994.98,680.79,1314.19
19-11-2023,35,1007,Furniture,10,1410.28,1344.46,Store_1007,Bangalore,South,1791,20-04-2019,14102.8,13444.6,658.2
22-02-2023,36,1017,Groceries,18,1563.97,44.6,Store_1017,Pune,East,4884,13-10-2022,28151.46,802.8,27348.66
05-03-2023,37,1010,Groceries,8,823.88,990.59,Store_1010,Kolkata,East,1763,25-01-2019,6591.04,7924.72,-1333.68
29-05-2023,38,1031,Furniture,12,1818.67,988.98,Store_1031,Bangalore,North,1391,07-12-2021,21824.04,11867.76,9956.28
12-06-2023,39,1006,Clothing,5,1113.65,592.11,Store_1006,Mumbai,North,2076,05-08-2022,5568.25,2960.55,2607.7
04-01-2024,40,1017,Groceries,1,1377.83,352.42,Store_1017,Pune,East,4884,13-10-2022,1377.83,352.42,1025.41
13-08-2023,41,1050,Sports,8,234.88,382.33,Store_1050,Hyderabad,West,3454,17-11-2017,1879.04,3058.64,-1179.6
02-01-2024,42,1037,Electronics,5,1281.78,1206.68,Store_1037,Pune,South,4561,25-11-2017,6408.9,6033.4,375.5
18-12-2023,43,1018,Sports,17,1764.2,127.17,Store_1018,Pune,South,1064,28-01-2016,29991.4,2161.89,27829.51
10-11-2023,44,1026,Groceries,15,397.65,858.82,Store_1026,Kolkata,South,2495,17-07-2016,5964.75,12882.3,-6917.55
19-04-2023,45,1049,Electronics,4,1488.57,481.06,Store_1049,Delhi,South,1502,06-03-2017,5954.28,1924.24,4030.04
21-10-2023,46,1016,Furniture,13,99.53,419.91,Store_1016,Hyderabad,East,3062,20-05-2017,1293.89,5458.83,-4164.94
03-02-2024,47,1008,Electronics,17,1856.1,773.43,Store_1008,Bangalore,West,4993,18-08-2017,31553.7,13148.31,18405.39
17-09-2023,48,1024,Electronics,13,1966.69,1349.86,Store_1024,Mumbai,South,3027,13-05-2017,25566.97,17548.18,8018.79
17-08-2023,49,1013,Electronics,2,740.65,938.6,Store_1013,Pune,West,1492,17-05-2016,1481.3,1877.2,-395.9
23-10-2023,50,1029,Groceries,4,258.79,1189.26,Store_1029,Delhi,West,2522,07-04-2020,1035.16,4757.04,-3721.88
07-02-2024,51,1032,Clothing,2,1334.22,913.01,Store_1032,Mumbai,East,2698,28-03-2021,2668.44,1826.02,842.42
02-02-2023,52,1024,Groceries,12,108.18,1055.64,Store_1024,Mumbai,South,3027,13-05-2017,1298.16,12667.68,-11369.52
09-12-2023,53,1016,Clothing,19,990.85,665.64,Store_1016,Hyderabad,East,3062,20-05-2017,18826.15,12647.16,6178.99
12-05-2023,54,1011,Furniture,18,579.97,1391.19,Store_1011,Hyderabad,West,3235,14-05-2022,10439.46,25041.42,-14601.96
08-03-2023,55,1032,Furniture,10,973.01,767.85,Store_1032,Mumbai,East,2698,28-03-2021,9730.1,7678.5,2051.6
14-06-2023,56,1006,Furniture,5,85.64,841.11,Store_1006,Mumbai,North,2076,05-08-2022,428.2,4205.55,-3777.35
11-11-2023,57,1035,Furniture,11,150.64,801.7,Store_1035,Pune,West,1378,17-11-2023,1657.04,8818.7,-7161.66
09-05-2023,58,1033,Furniture,1,81.15,494.8,Store_1033,Hyderabad,South,1418,28-08-2022,81.15,494.8,-413.65
12-02-2023,59,1018,Sports,3,1257.31,369.92,Store_1018,Pune,South,1064,28-01-2016,3771.93,1109.76,2662.17
10-06-2023,60,1037,Groceries,17,1142.18,138.54,Store_1037,Pune,South,4561,25-11-2017,19417.06,2355.18,17061.88
29-11-2023,61,1013,Clothing,15,504.66,1085.72,Store_1013,Pune,West,1492,17-05-2016,7569.9,16285.8,-8715.9
08-02-2024,62,1010,Furniture,14,1310.95,455.23,Store_1010,Kolkata,East,1763,25-01-2019,18353.3,6373.22,11980.08
14-10-2023,63,1037,Sports,15,1774.2,602.12,Store_1037,Pune,South,4561,25-11-2017,26613,9031.8,17581.2
25-08-2023,64,1026,Sports,16,590.78,1382.29,Store_1026,Kolkata,South,2495,17-07-2016,9452.48,22116.64,-12664.16
07-01-2023,65,1046,Sports,4,1672.39,862.68,Store_1046,Delhi,East,3977,17-05-2019,6689.56,3450.72,3238.84
29-06-2023,66,1017,Groceries,19,1341.89,172.7,Store_1017,Pune,East,4884,13-10-2022,25495.91,3281.3,22214.61
11-02-2023,67,1001,Furniture,8,115.95,1205.43,Store_1001,Hyderabad,South,4796,18-10-2019,927.6,9643.44,-8715.84
14-11-2023,68,1025,Sports,6,781.54,406.51,Store_1025,Pune,South,3695,22-08-2022,4689.24,2439.06,2250.18
30-01-2024,69,1034,Sports,16,1040.13,842.48,Store_1034,Hyderabad,South,3336,06-08-2019,16642.08,13479.68,3162.4
12-02-2023,70,1039,Furniture,3,1476.81,779.67,Store_1039,Hyderabad,West,4065,29-03-2018,4430.43,2339.01,2091.42
24-11-2023,71,1010,Groceries,8,609.9,379.98,Store_1010,Kolkata,East,1763,25-01-2019,4879.2,3039.84,1839.36
26-09-2023,72,1020,Sports,5,1966.32,200.18,Store_1020,Hyderabad,West,4910,04-11-2017,9831.6,1000.9,8830.7
25-11-2023,73,1007,Clothing,5,1384.85,340.55,Store_1007,Bangalore,South,1791,20-04-2019,6924.25,1702.75,5221.5
13-10-2023,74,1016,Electronics,12,776.99,173.09,Store_1016,Hyderabad,East,3062,20-05-2017,9323.88,2077.08,7246.8
26-11-2023,75,1037,Electronics,1,239.2,435.17,Store_1037,Pune,South,4561,25-11-2017,239.2,435.17,-195.97
22-12-2023,76,1029,Electronics,7,403.67,1496.03,Store_1029,Delhi,West,2522,07-04-2020,2825.69,10472.21,-7646.52
06-02-2023,77,1012,Groceries,11,1000.84,621.08,Store_1012,Bangalore,East,1379,25-10-2017,11009.24,6831.88,4177.36
22-01-2024,78,1017,Sports,10,1014.66,1299.92,Store_1017,Pune,East,4884,13-10-2022,10146.6,12999.2,-2852.6
23-07-2023,79,1048,Electronics,3,1547.05,837.29,Store_1048,Hyderabad,North,4119,17-05-2022,4641.15,2511.87,2129.28
22-07-2023,80,1020,Electronics,8,1466.04,1009.88,Store_1020,Hyderabad,West,4910,04-11-2017,11728.32,8079.04,3649.28
21-09-2023,81,1026,Furniture,1,442.48,259.83,Store_1026,Kolkata,South,2495,17-07-2016,442.48,259.83,182.65
24-12-2023,82,1048,Sports,8,1210.17,433.96,Store_1048,Hyderabad,North,4119,17-05-2022,9681.36,3471.68,6209.68
28-12-2023,83,1019,Sports,11,90.21,780.35,Store_1019,Mumbai,North,4928,26-07-2015,992.31,8583.85,-7591.54
28-10-2023,84,1047,Furniture,7,827.17,1325.28,Store_1047,Mumbai,West,4104,19-05-2023,5790.19,9276.96,-3486.77
08-08-2023,85,1012,Sports,16,1540.01,93.05,Store_1012,Bangalore,East,1379,25-10-2017,24640.16,1488.8,23151.36
27-03-2023,86,1021,Clothing,7,829.04,775.17,Store_1021,Kolkata,South,3568,25-02-2020,5803.28,5426.19,377.09
03-01-2023,87,1042,Groceries,13,1679.41,104.99,Store_1042,Bangalore,West,3182,25-12-2019,21832.33,1364.87,20467.46
30-11-2023,88,1034,Furniture,10,1953.5,701.53,Store_1034,Hyderabad,South,3336,06-08-2019,19535,7015.3,12519.7
18-04-2023,89,1007,Electronics,17,1234.06,954.44,Store_1007,Bangalore,South,1791,20-04-2019,20979.02,16225.48,4753.54
16-08-2023,90,1045,Sports,3,332.76,1124.74,Store_1045,Kolkata,South,1779,17-02-2022,998.28,3374.22,-2375.94
26-03-2023,91,1035,Clothing,7,790.37,233.64,Store_1035,Pune,West,1378,17-11-2023,5532.59,1635.48,3897.11
