date,transaction_id,store_id,product_category,units_sold,unit_price,cost_per_unit
2023-10-30 22:00:00,1,1025,Clothing,6,722.09,1307.01
2023-02-05 20:00:00,2,1031,Electronics,4,1614.59,1264.71
2023-08-13 14:00:00,3,1049,Clothing,13,980.56,487.95
2023-08-05 07:00:00,4,1041,Clothing,8,1813.98,269.39
2023-08-27 22:00:00,5,1017,Furniture,11,1171.52,587.09
2023-09-19 01:00:00,6,1047,Groceries,19,1860.72,453.96
2023-01-20 10:00:00,7,1030,Electronics,5,1966.09,1427.65
2023-07-04 10:00:00,8,1039,Electronics,5,935.09,420.9
2023-08-21 10:00:00,9,1031,Electronics,3,1152.06,296.37
2023-12-13 18:00:00,10,1019,Furniture,2,1678.1,1352.23
2023-03-12 05:00:00,11,1035,Furniture,3,481.99,157.12
2023-02-02 01:00:00,12,1029,Sports,15,1730.18,412.59
2023-10-17 13:00:00,13,1001,Furniture,7,1204.24,675.49
2023-04-12 09:00:00,14,1004,Electronics,3,1464.73,904.81
2023-08-10 07:00:00,15,1028,Sports,15,205.72,511.68
2023-07-30 11:00:00,16,1018,Groceries,11,1544.07,759.46
2023-09-25 12:00:00,17,1026,Clothing,16,656.03,322.28
2023-02-19 08:00:00,18,1040,Clothing,13,1620.2,874.18
2023-07-09 19:00:00,19,1019,Sports,2,1042.85,629.49
2023-05-22 01:00:00,20,1006,Groceries,12,585.5,1278.41
2023-09-24 12:00:00,21,1001,Clothing,7,1907.88,641.13
2023-12-28 02:00:00,22,1008,Sports,1,1541.87,682.41
2024-01-22 10:00:00,23,1033,Furniture,14,1972.09,900.5
2023-04-17 14:00:00,24,1043,Electronics,10,760.72,211.06
2023-11-24 01:00:00,25,1021,Groceries,3,1315.98,260.49
2023-03-27 07:00:00,26,1024,Clothing,11,1242.6,1191.65
2023-04-25 11:00:00,27,1025,Electronics,15,1390.74,431.93
2024-01-17 23:00:00,28,1047,Sports,6,124.72,1036.5
2024-02-21 14:00:00,29,1043,Clothing,18,618.85,173.22
2023-01-08 21:00:00,30,1019,Electronics,13,1823.21,1238.11
2023-04-24 22:00:00,31,1029,Furniture,15,876.45,1482.7
2023-05-06 05:00:00,32,1010,Groceries,3,1923.26,579.33
2023-07-14 02:00:00,33,1012,Sports,15,466.33,773.13
2023-03-21 03:00:00,34,1033,Clothing,1,1994.98,680.79
2023-11-19 06:00:00,35,1007,Furniture,10,1410.28,1344.46
2023-02-22 19:00:00,36,1017,Groceries,18,1563.97,44.6
2023-03-05 16:00:00,37,1010,Groceries,8,823.88,990.59
2023-05-29 04:00:00,38,1031,Furniture,12,1818.67,988.98
2023-06-12 02:00:00,39,1006,Clothing,5,1113.65,592.11
2024-01-04 06:00:00,40,1017,Groceries,1,1377.83,352.42
2023-08-13 17:00:00,41,1050,Sports,8,234.88,382.33
2024-01-02 08:00:00,42,1037,Electronics,5,1281.78,1206.68
2023-12-18 09:00:00,43,1018,Sports,17,1764.2,127.17
2023-11-10 01:00:00,44,1026,Groceries,15,397.65,858.82
2023-04-19 20:00:00,45,1049,Electronics,4,1488.57,481.06
2023-10-21 09:00:00,46,1016,Furniture,13,99.53,419.91
2024-02-03 03:00:00,47,1008,Electronics,17,1856.1,773.43
2023-09-17 19:00:00,48,1024,Electronics,13,1966.69,1349.86
2023-08-17 14:00:00,49,1013,Electronics,2,740.65,938.6
2023-10-23 19:00:00,50,1029,Groceries,4,258.79,1189.26
2024-02-07 22:00:00,51,1032,Clothing,2,1334.22,913.01
2023-02-02 07:00:00,52,1024,Groceries,12,108.18,1055.64
2023-12-09 18:00:00,53,1016,Clothing,19,990.85,665.64
